,index_0=aggregated,scoreOnClassfication_BaseModel,scoreOnClassfication_PredictedModel,tp,fn,fp,tn,precision,recall,f1
277,20,0.996,0.992,496,3,1,0,0.9979879275653923,0.9939879759519038,0.995983935742972
278,20,0.996,0.988,494,5,1,0,0.997979797979798,0.9899799599198397,0.993963782696177
279,20,0.992,0.968,484,12,4,0,0.9918032786885246,0.9758064516129032,0.983739837398374
280,20,0.998,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
281,20,1.0,0.982,491,9,0,0,1.0,0.982,0.9909182643794148
282,20,1.0,0.956,478,20,2,0,0.9958333333333333,0.9598393574297188,0.9775051124744376
283,20,0.998,0.972,486,13,1,0,0.997946611909651,0.9739478957915831,0.9858012170385395
284,20,0.99,0.986,493,2,5,0,0.9899598393574297,0.9959595959595959,0.9929506545820745
285,20,0.998,0.982,491,8,1,0,0.9979674796747967,0.9839679358717435,0.9909182643794147
286,20,0.984,0.974,487,6,7,0,0.9858299595141701,0.9878296146044625,0.9868287740628165
287,20,1.0,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
288,20,0.99,0.974,487,7,6,0,0.9878296146044625,0.9858299595141701,0.9868287740628165
289,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
290,20,0.998,0.994,497,2,1,0,0.9979919678714859,0.9959919839679359,0.9969909729187563
291,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
292,20,0.992,0.966,483,13,4,0,0.9917864476386037,0.9737903225806451,0.982706002034588
293,20,0.998,0.986,493,6,1,0,0.9979757085020243,0.9879759519038076,0.9929506545820747
294,20,0.998,0.988,494,5,1,0,0.997979797979798,0.9899799599198397,0.993963782696177
295,20,1.0,0.968,484,16,0,0,1.0,0.968,0.983739837398374
296,20,0.998,0.956,478,21,1,0,0.9979123173277662,0.9579158316633266,0.9775051124744376
297,20,1.0,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
298,20,1.0,0.972,486,14,0,0,1.0,0.972,0.9858012170385395
299,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
300,20,0.996,0.996,498,1,1,0,0.9979959919839679,0.9979959919839679,0.9979959919839679
301,20,0.992,0.962,481,16,3,0,0.993801652892562,0.9678068410462777,0.9806320081549439
302,20,1.0,0.998,499,1,0,0,1.0,0.998,0.998998998998999
303,20,0.994,0.97,484,13,2,1,0.9958847736625515,0.9738430583501007,0.9847405900305188
304,20,1.0,0.986,493,6,1,0,0.9979757085020243,0.9879759519038076,0.9929506545820747
305,20,0.998,0.994,497,2,1,0,0.9979919678714859,0.9959919839679359,0.9969909729187563
306,20,0.998,0.984,492,7,1,0,0.9979716024340771,0.9859719438877755,0.9919354838709677
307,20,0.996,0.952,475,23,1,1,0.9978991596638656,0.9538152610441767,0.9753593429158112
308,20,1.0,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
309,20,0.996,0.982,491,7,2,0,0.9959432048681541,0.9859437751004017,0.9909182643794147
310,20,0.996,0.99,495,3,2,0,0.9959758551307847,0.9939759036144579,0.9949748743718593
311,20,0.994,0.974,487,8,5,0,0.9898373983739838,0.9838383838383838,0.9868287740628167
312,20,0.996,0.99,495,2,3,0,0.9939759036144579,0.9959758551307847,0.9949748743718593
313,20,0.992,0.936,468,29,3,0,0.9936305732484076,0.9416498993963782,0.9669421487603305
314,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
315,20,1.0,0.998,499,1,0,0,1.0,0.998,0.998998998998999
316,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
317,20,0.994,0.974,487,10,3,0,0.9938775510204082,0.9798792756539235,0.9868287740628167
318,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
319,20,0.996,0.97,485,13,2,0,0.9958932238193019,0.9738955823293173,0.9847715736040609
320,20,0.998,0.99,495,4,1,0,0.9979838709677419,0.9919839679358717,0.9949748743718592
321,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
322,20,0.99,0.972,486,10,4,0,0.9918367346938776,0.9798387096774194,0.9858012170385396
